Type/Month,2025,,,,,,,,,2026,,,Total,,,,
,April,May,June,July,August,September,October,November,December,January,February,March,,,Calculate Start Column,3,
KSFE 8000x100,0,0,6200,6200,0,6200,0,6200,6200,6970,6970,6767,51707,,Calculate End Column,33,
KSFE 3000x50,2834,2880,2740,2740,0,3000,3000,3000,3000,3000,3000,3000,32194,,,,
KSFE 10000x50,9359,9362,9359,9359,0,9359,0,9359,9359,9641,9359,9359,93875,,Total Savings Accumulated,0,B3:M14
Merchants Club Chit,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,48000,,Total Savings Spent,0,B15:M33
Misc.,6200,6200,6200,0,0,18559,0,15870,0,0,0,0,53029,,Total Savings Remaining,0,
LIC,0,0,8256,0,0,8256,0,0,0,0,8256,0,24768,,Total Expenses Incoming,0,
Gold,0,0,0,30000,0,10000,10000,10000,20000,10000,17600,20000,127600,,Total Savings Incoming,0,
Liya Fees Savings,0,0,0,0,0,0,0,0,0,0,0,0,0,,Projected Remaining Savings,0,
Travel Savings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Post Office RD,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000,,,,
SIP,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,72000,,,,
Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Asianet,0,0,0,2993,0,0,2338,0,0,2390,0,0,7721,,,,
EMI Scooter,3112,3112,3112,3112,3112,3112,3040,0,0,0,0,0,21712,,,,
Liya,8000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0,78000,,,,
Liya Fees Payment,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Fuel,4000,2000,4000,4000,4000,4000,4000,4000,4000,4000,3000,4000,45000,,,,
Travel/Tickets,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000,,,,
Medical,0,5000,5000,5000,0,5000,5000,5000,5000,5000,5000,5000,50000,,,,
Netflix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Youtube Premium,299,299,299,299,299,299,299,299,299,299,299,299,3588,,,,
F1TV,0,0,0,299,299,299,299,299,299,299,0,299,2392,,,,
Spotify Premium,179,179,179,179,179,179,179,179,179,179,179,179,2148,,,,
XBox,0,0,0,0,0,0,0,0,0,0,0,0,0,10068,,,
Partial Expenses Paid,0,2000,0,0,0,0,0,0,0,1500,1000,0,4500,,,,
EMI,0,20133,22148,0,0,12130,48046,33212,38671,55577,7554,16748,254219,,,,
Food,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24000,,,,
Credit Card,14870,5540,26248,21742,50325,12709,0,0,10800,10064,8741,9711,170750,,,,
APY,327,327,327,327,327,327,327,327,327,327,327,327,3924,,,,
Appa,-4300,-4300,-4300,-4300,-4300,-4300,-4300,0,0,0,0,0,-30100,,,,
Amma,0,0,0,0,0,-6400,0,0,0,0,0,0,-6400,,,,
Total Savings/Expenses,61380,79232,116268,108450,80741,109229,98728,114245,114634,125746,87785,92189,1188627,,,,
Savings,29893,29942,44255,59799,11500,66874,24500,55929,50059,41111,56685,50626,521173,,,,
Expenses,31487,49290,72013,48651,69241,42355,74228,58316,64575,84635,31100,41563,667454,,,,
Salary/Income,96967,109839,120946,120946,144396,119239,120489,127929,129077,127828,131550,116420,1465626,,,,
For Expenses,35587,30607,4678,12496,63655,10010,21761,13684,14443,2082,43765,24231,276999,,,,
Initial In Hand,100206,117621,127391,135782,148985,130514,127499,132858,132168,132900,126046,145010,,,,,
SBI,1530,4177,12768,-1723,9263,0,1381,1084,3862,625,17226,3196,,,,,
Axis,1212,1522,1322,1358,1358,6358,3303,1762,963,594,11117,1475,,,,,
Federal,740,746,746,654,654,652,245,245,247,247,247,249,,,,,
FI,1415,5210,9857,14891,14891,10012,8210,10604,20449,6614,10720,7106,,,,,
Total Bank Balance,3482,6445,14836,289,11275,7010,4929,3091,5072,1466,28590,4920,,,,,
Remaining Expenses,-4300,0,0,-4300,0,0,0,0,0,6970,0,6767,,,,,
Paid Expenses,65680,79232,116268,112750,80741,109229,98728,114245,114634,118776,87785,85422,,,,,
Unaccounted Expenses,31044,31944,-3713,22743,56969,14275,23842,15522,12462,12658,9671,54668,,,,,
Avl. for Expenses,7782,6445,14836,4589,11275,7010,4929,3091,5072,-5504,28590,-1847,,,,,
Projected Balance,7782,6445,14836,4589,11275,7010,4929,3091,5072,-5504,28590,-1847,,,,,
,B3:B33,C3:C33,D3:D33,E3:E33,F3:F33,G3:G33,H3:H33,I3:I33,J3:J33,K3:K33,L3:L33,M3:M33,,,,,
,,,,,,,,,,,,,,,,,
Change Value in Q3 to anything and back to 33 for calculations to work.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(c) - georgyfelix,,